feature,importance
has_https,0.4366466876676448
slash_count,0.16261280162177993
path_length,0.1567978383586021
digit_count,0.07335537394898956
special_char_count,0.06556653066841278
url_length,0.03213558305569388
domain_length,0.022848515138247868
subdomain_count,0.01882739078912538
hyphen_count,0.01569055624060647
dot_count,0.012385596027700561
suspicious_word_count,0.0013974494091659418
question_mark_count,0.0012306130461121447
query_length,0.0004118999097784825
underscore_count,6.032725626739411e-05
at_count,1.6760415020699965e-05
equal_count,8.581915046887788e-06
has_ip_address,5.534670748862615e-06
percent_count,1.959861056195018e-06
tilde_count,0.0
ampersand_count,0.0
