epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.03830933962294778,0.997762356606713,1.0,0.9947605783260379,0.9973734082521528
2,0.016466086180325704,0.997819005806543,0.9999333466640006,0.9949595437060618,0.997440244672717
3,0.01585345323507924,0.9979039796062881,1.0,0.9950921872927444,0.9975400571770494
4,0.014931577638127684,0.9976490582070529,1.0,0.9944952911526728,0.9972400492135803
5,0.014250371160714342,0.9979039796062881,0.9998667377398721,0.9952248308794269,0.9975403842318686
6,0.013982949529880056,0.9980172780059482,1.0,0.9953574744661096,0.9976733364355514
7,0.013302059928058309,0.9979889534060331,0.9998001731832412,0.9954901180527922,0.9976404905121132
8,0.013023236678626355,0.9979606288061181,0.9998667554963357,0.9953574744661096,0.9976070194097314
9,0.01272658167882972,0.9979606288061181,0.9997335819901425,0.9954901180527922,0.9976073374983384
10,0.01207817333753997,0.9979606288061181,0.999933368869936,0.9952911526727682,0.99760686033371
